Start Date,Subject,Location,Start Time,End Time,Description,Reminder,
10/29/12,Notre Dame Men's Basketball vs. Quincy,"Notre Dame, Ind. (Purcell Pavilion)",19:00,21:00,Exhibition,On,
11/2/12,Notre Dame Men's Basketball vs. Cardinal Stritch,"Notre Dame, Ind. (Purcell Pavilion)",21:00,23:00,Exhibition,On,
11/10/12,Notre Dame Men's Basketball vs. Evansville,"Notre Dame, Ind. (Purcell Pavilion)",8:00,23:59,CVC Classic,On,"W, 58-49"
11/12/12,Notre Dame Men's Basketball vs. Monmouth,"Notre Dame, Ind. (Purcell Pavilion)",19:00,21:00,CVC Classic,On,"W, 84-57"
11/16/12,Notre Dame Men's Basketball vs. Saint Joseph's (Pa.),"Brooklyn, N.Y. (Barclays Center)",21:30,23:30,CVC Classic (Championship Rounds) - TruTV,On,"L, 70-79"
11/17/12,Notre Dame Men's Basketball vs. BYU,"Brooklyn, N.Y. (Barclays Center)",8:00,23:59,CVC Classic (Championship Rounds) - TruTV,On,"W, 78-68"
11/21/12,Notre Dame Men's Basketball vs. George Washington,"Notre Dame, Ind. (Purcell Pavilion)",19:00,21:00, ,On,
11/24/12,Notre Dame Men's Basketball vs. Saint Francis (Pa.),"Notre Dame, Ind. (Purcell Pavilion)",13:00,15:00, ,On,
11/26/12,Notre Dame Men's Basketball vs. Chicago State,"Notre Dame, Ind. (Purcell Pavilion)",19:00,21:00,ESPNU,On,
11/29/12,Notre Dame Men's Basketball vs. Kentucky,"Notre Dame, Ind. (Purcell Pavilion)",19:00,21:00,ESPN2,On,
12/8/12,Notre Dame Men's Basketball vs. Brown,"Notre Dame, Ind. (Purcell Pavilion)",19:00,21:00,ND WBB at noon ET vs. Utah State,On,
12/15/12,Notre Dame Men's Basketball vs. Purdue,"Indianapolis, Ind. (Bankers Life Fieldhouse)",16:30,18:30,Crossroads Classic - ESPN2,On,
12/17/12,Notre Dame Men's Basketball vs. IPFW,"Notre Dame, Ind. (Purcell Pavilion)",19:00,21:00,,On,
12/19/12,Notre Dame Men's Basketball vs. Kennesaw State,"Notre Dame, Ind. (Purcell Pavilion)",19:00,21:00,,On,
12/21/12,Notre Dame Men's Basketball vs. Niagara,"Notre Dame, Ind. (Purcell Pavilion)",19:00,21:00,ESPNU,On,
1/5/13,Notre Dame Men's Basketball vs. Seton Hall,"Notre Dame, Ind. (Purcell Pavilion)",8:00,23:59,BIG EAST game - BIG EAST Network,On,
1/7/13,Notre Dame Men's Basketball at Cincinnati,"Cincinnati, Ohio (Fifth Third Arena)",19:00,21:00,BIG EAST game - ESPN2,On,
1/12/13,Notre Dame Men's Basketball vs. Connecticut,"Notre Dame, Ind. (Purcell Pavilion)",8:00,23:59,BIG EAST game - BIG EAST Network,On,
